Input: 小红走进烘焙店，买了一块现烤的[MASK][MASK]。
牛糕, Probability: 0.0174
奶酪, Probability: 0.0081
蛋司, Probability: 0.0037
豆饼, Probability: 0.0025
面包, Probability: 0.0015
饼果, Probability: 0.0012
鸡干, Probability: 0.0006
烤子, Probability: 0.0006
冰莓, Probability: 0.0005
芋豆, Probability: 0.0003
馒蕉, Probability: 0.0003
猪奶, Probability: 0.0003
薯皮, Probability: 0.0002
麦蛋, Probability: 0.0002
土瓜, Probability: 0.0002
苹梨, Probability: 0.0001
芝心, Probability: 0.0001
果西, Probability: 0.0001
菠薯, Probability: 0.0001
黄茄, Probability: 0.0001
乳肉, Probability: 0.0001
肉糖, Probability: 0.0001
香头, Probability: 0.0001
抹块, Probability: 0.0001
咖丁, Probability: 0.0000
西布, Probability: 0.0000
沙片, Probability: 0.0000
木啡, Probability: 0.0000
糕物, Probability: 0.0000
雪面, Probability: 0.0000
烘克, Probability: 0.0000
东桃, Probability: 0.0000
小球, Probability: 0.0000
红麦, Probability: 0.0000
糖焙, Probability: 0.0000
洋油, Probability: 0.0000
羊堡, Probability: 0.0000
干团, Probability: 0.0000
布牛, Probability: 0.0000
甜叶, Probability: 0.0000
水粉, Probability: 0.0000
披腿, Probability: 0.0000
草乾, Probability: 0.0000
米卷, Probability: 0.0000
葡点, Probability: 0.0000
青菜, Probability: 0.0000
大葱, Probability: 0.0000
食腐, Probability: 0.0000
包萨, Probability: 0.0000
白料, Probability: 0.0000

Input: 一棵四季常青的[MASK][MASK]。
大树, Probability: 0.0884
小木, Probability: 0.0157
古草, Probability: 0.0024
树柏, Probability: 0.0013
老子, Probability: 0.0005
松花, Probability: 0.0004
绿物, Probability: 0.0003
花柳, Probability: 0.0002
青樹, Probability: 0.0002
杨萝, Probability: 0.0001
植桐, Probability: 0.0001
美菜, Probability: 0.0001
草苗, Probability: 0.0001
柳榕, Probability: 0.0001
巨槐, Probability: 0.0001
木松, Probability: 0.0000
红叶, Probability: 0.0000
乔藤, Probability: 0.0000
